method,method_d,method_cat,round,time
Submission,Rear-Naked Choke,Choke,1,02:56
DQ,Elbows to Back of Head,Illegal,1,02:57
KO,Punches,Punch,1,02:57
Submission,Rear-Naked Choke,Choke,1,02:57
Submission,Kneebar,Lock,1,02:57
Submission,Neck Crank,Lock,1,02:57
KO,Head Kick,Kick,1,02:58
Submission,Rear-Naked Choke,Choke,1,02:58
Submission,Triangle Choke,Choke,1,02:58
Submission,Achilles Lock,Lock,1,02:58
Submission,Armbar,Lock,1,02:58
TKO,Elbows,Elbow,1,02:58
TKO,Knees,Knee,1,02:58
TKO,Punches,Punch,1,02:58
TKO,Punches,Punch,1,02:58
TKO,Flying Knee and Punches,Striking,1,02:58
KO,Knee,Knee,1,02:59
KO,Punches,Punch,1,02:59
KO,Punches,Punch,1,02:59
Submission,Rear-Naked Choke,Choke,1,02:59
Submission,Triangle Armbar,Lock,1,02:59
TKO,Punches,Punch,1,02:59
KO,Punches,Punch,1,03:00
KO,Punches,Punch,1,03:00
Submission,Guillotine Choke,Choke,1,03:00
Submission,Heel Hook,Lock,1,03:00
Submission,Keylock,Lock,1,03:01
TKO,Punch,Punch,1,03:01
TKO,Punches,Punch,1,03:01
TKO,Punches,Punch,1,03:01
Submission,Guillotine Choke,Choke,1,03:02
Submission,Armbar,Lock,1,03:02
TKO,Punches,Punch,1,03:02
TKO,Punches,Punch,1,03:03
KO,Punches,Punch,1,03:04
Submission,Rear-Naked Choke,Choke,1,03:04
Submission,Guillotine Choke,Choke,1,03:05
Submission,Guillotine Choke,Choke,1,03:05
